id,prompt
37,"dynamic composition, motion, ultra-detailed, incredibly detailed, a lot of details, amazing fine details and brush strokes, colorful and grayish palette, smooth, HD semirealistic anime CG concept art digital painting, watercolor oil painting of Clean and detailed post-cyberpunk sci-fi close-up cyborg girl wearing school uniform, in asian city in style of cytus and deemo, blue flame, relaxing, calm and mysterious vibes,, by a Chinese artist at ArtStation, by Huang Guangjian, Fenghua Zhong, Ruan Jia, Xin Jin and Wei Chang. Realistic artwork of a Chinese videogame, gradients, gentle an harmonic grayish colors. set in half-life 2, Matrix, GITS, Blade Runner, Neotokyo Source, Syndicate(2012), dynamic composition, beautiful with eerie vibes, very inspirational, very stylish, with gradients, surrealistic, dystopia, postapocalyptic vibes, depth of field, mist, rich cinematic atmosphere, perfect digital art, mystical journey in strange world"
38,"Portrait of Kanye West as Emperor Napoleon in Fallout New Vegas, splash art, movie still, cinematic lighting, dramatic, octane render, long lens, shallow depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain"
39,"a girl in a spaceship, very detailed, smooth render, illustration, art style by shigeru miyamoto and Alphonse Mucha"
40,a victorian era portrait painting of a basketball-themed warlock in jersey-robes by Peter Mohrbacher
41,"Little girl faerie lays on the living room rug, Kodachrome, 35mm photo, flashbulb"
42,"professional digital art detailed forest tree with  door and stairs, magical forest flowers mushrooms cgsociety wlop behance by pixiv"
43,"a baby in a spaceship, very detailed, smooth render, illustration, art style by shigeru miyamoto and Alphonse Mucha"
44,a family circus by Peter Mohrbacher
45,"Corporate Hobbit hole, advertising, magical cubicle, trending on pixiv, behance"
46,"Loki portrait, male anime style, illustrated by Avetetsuya Studios, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
47,"dynamic composition, motion, ultra-detailed, incredibly detailed, a lot of details, amazing fine details and brush strokes, colorful and grayish palette, smooth, HD semirealistic anime CG concept art digital painting, watercolor oil painting of Clean and detailed post-cyberpunk sci-fi close-up evil powerful cyborg angel girl wearing leather jacket, skirt and pantyhose, in asian city in style of cytus and deemo, blue flame, relaxing, calm and mysterious vibes,, by a Chinese artist at ArtStation, by Huang Guangjian, Fenghua Zhong, Ruan Jia, Xin Jin and Wei Chang. Realistic artwork of a Chinese videogame, gradients, gentle an harmonic grayish colors. set in half-life 2, Matrix, GITS, Blade Runner, Neotokyo Source, Syndicate(2012), dynamic composition, beautiful with eerie vibes, very inspirational, very stylish, with gradients, surrealistic, dystopia, postapocalyptic vibes, depth of field, mist, rich cinematic atmosphere, perfect digital art, mystical journey in strange world"
48,"professional digital art detailed forest tree with door and stairs, magical forest flowers mushrooms by Evgeny Lushpin and Thomas Kinkade"
49,help
50,"Elizabeth as Scarlet Witch portrait, male anime style, illustrated by Avetetsuya Studios, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
51,"a woman in a shirt with a normal body type, painting by Gaston Bussiere, Craig Mullins"
52,"animatronic trump!, realistic color 1980 photo, chuck e cheese, portrait"
53,"terence McKenna modeling seductively with a giant red mushroom, psychedelic, movie still, cinematic lighting, dramatic, octane render, bokeh, 8k, hyper detailed, 35mm film grain"
54,professional digital art detailed of  inside room of a tree house in the forest by Evgeny Lushpin and Thomas Kinkade
55,"Elizabeth Olsen as Scarlet Witch portrait, male anime style, illustrated by Avetetsuya Studios, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
56,“Great Wall of China on the moon”
57,"a woman in a shirt with a normal body type, painting by Gaston Bussiere, Craig Mullins S 2406827263"
58,"<https://s.mj.run/itAxlxx5jkE> female Samara Weaving with skull face paint, symmetrical face, symmetrical body, Symmetrical eyes, perfect face, natural hands and arms, thin legs, holding a shotgun, in an action pose, in an alleyway during The Purge, symmetrical body, realistic body, night time dark with neon colors, fires, horror, Tom Bagshaw, Charlie Bowater, Rafael Albuquerque comic art"
59,"Elizabeth Olsen as Scarlet Witch portrait, male anime style, illustrated by Avetetsuya Studios, intricate, detailed, photorealistic, trending on artstation, studio lighting, 4k, 8k"
60,digital painting detailed beach and shoreline with starfish painted by jeremiah ketner and James Gurney
61,"a woman in a shirt with a normal body type, painting by Gaston Bussiere, Craig Mullins"
62,a frame of Keanu Reeves in South Park
63,"a woman from japan in a scarf with a latte, impressionist painting"
64,"interior of a solarpunk nitrous oxide bar in Japan, photo"
65,thick oil painting detailed beach and shoreline with tiny starfish painted by jeremiah ketner and James Gurney
66,"Elizabeth Olsen holding a ring out saying 'No', photorealistic imagery, 4k, 8k"
67, oil painting detailed girl running on the beach  and shoreline  painted by jeremiah ketner and James Gurney
68,"Elizabeth Olsen, frowning eyebrows, saying 'No', photorealistic, 4k, 8k"
69,"The muppets in the battle of helms deep wide angle battle scene, highly textured, hyperrealism, explosions, award winning, gritty"
70,A banana is made of yellow topaz crystal.
71,"a woman from japan in a scarf with a latte, cubist painting"
72,"Domino Marvel comics, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
73,D.va from Overwatch in the style of a Soviet propaganda poster
74,beautiful thick oil painting detailed beach and shoreline painted by jeremiah ketner and James Gurney
75,"Domino pale white skin black spot over eye Marvel comics, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
76,"Elizabeth Olsen holding a guinea pig in her hands, photorealistic, 4k, 8k, trending on artstation"
77,"trisha paytas election propaganda poster, photorealistic, poster"
78,"Domino pale white skin black spot over LEFT eye Marvel comics, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, no spot over right eye"
79,"beautiful oil painting ocean sky sunset, painted by jeremiah ketner and James Gurney"
80,"a beautiful woodblock print by Utagawa Toyokuni of The Predator, Yautja, very detailed, high quality"
81,"Domino X-force pale purely white skin black spot over LEFT eye, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, no spot over right eye"
82,"Elizabeth Olsen holding a guinea pig in her hands, photorealistic, 4k, 8k, trending on artstation"
83,concept art of a hellhound that can breath fire
84,"a woman from japan in a scarf with a latte, pablo picasso painting"
85,"Domino X-force, pale purely white skin asymmetrical black spot over LEFT eye, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, no spot over right eye"
86,"Elizabeth Olsen holding a dog in her hands, photorealistic, 4k, 8k, trending on artstation"
87,"Domino X-force, pale purely white skin asymmetrical big black spot over LEFT eye, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, no spot over right eye"
88,"a woman from japan in a scarf with a latte, studio photograph"
89,"“reaching hand made of cut gemstone, black background, 35 mm product photo”"
90,Peter Falk as Bad Lieutenant film still 1990 35mm heavy detail grunge
91,"Scarlett Johansson Black Widow, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
92,"heroic character design of anthropomorphized fox, holy medieval crusader, whimsical fox , portrait, fighting posture, dramatic pose, final fantasy tactics character design, character art, whimsical, vibrant, stunning, lighthearted, concept art, colorized pencil, highly detailed, Akihiko Yoshida"
93,"The muppets as the fellowship of the ring movie poster wide angle, highly textured, hyperrealism, explosions, award winning, gritty"
94,a drawing of the space needle in seattle
95,"a man with a normal haircut, painting by Gaston Bussiere, Craig Mullins"
96,"female sasquatch as a heroine, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and donato giancola and Joseph Christian Leyendecker, Ross Tran, WLOP"
97,"“hand sculpture made from colorful gemstone, 35 mm product photo”"
98,"a man with a crew cutl haircut, painting by Gaston Bussiere, Craig Mullins"
99,"a Coca-Cola can from Rivendell, logo written in Quenya"
100,"Jesus doing the crip hand sign, painting by Gaston Bussiere, Craig Mullins"
101,"heroic character design of anthropomorphized fox, holy medieval crusader, whimsical fox , portrait, fighting posture, dramatic pose, final fantasy tactics character design, character art, whimsical, vibrant, stunning, lighthearted, concept art, colorized pencil, highly detailed, Akihiko Yoshida"
102,"heroic character design of anthropomorphized fox, holy medieval crusader, whimsical fox , portrait, fighting posture, dramatic pose, final fantasy tactics character design, character art, whimsical, vibrant, stunning, lighthearted, concept art, colorized pencil, highly detailed, Akihiko Yoshida"
103,"a Coca-Cola can from Rivendell, logo written in Tengwar alphabet, illustration by J. R. R. Tolkien"
104,"a man with a mohawk haircut, painting by Gaston Bussiere, Craig Mullins"
105,"Wanda Maximoff in gothic attire and gothic makeup, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
106,"heroic character design of anthropomorphized fox, holy medieval crusader, whimsical fox , portrait, fighting posture, dramatic pose, final fantasy tactics character design, character art, whimsical, vibrant, stunning, lighthearted, concept art, colorized pencil, highly detailed, Akihiko Yoshida"
107,"trail cam footage of lana del rey, photorealistic, horror"
108,"Elizabeth Olsen as the Scarlet Witch in gothic attire and gothic makeup, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
109,"Vintage travel poster for Lauterbrunnental, Switzerland"
110,"Elizabeth Olsen as the Scarlet Witch in emo attire and emo makeup, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
111,"portrait of a rugged!!!! male captain with long red hair!!!!!!, upper body, loose braids, handsome, leather coat, side profile, Steampunk airship!!!!!!!, D&D, fantasy, simple clothing!!!!, elegant, highly detailed, digital painting, deviantart, artstation, concept art, sharp focus, illustration, art by Artgerm and Greg Rutkowski and Alphonse Mucha"
112,"a man with a bowl cut haircut, painting by Gaston Bussiere, Craig Mullins"
113,isometric voxel art Lauterbrunnen valley with waterfall c4d
114,Anakin Skywalker vacuuming the beach to remove sand
115,"Elizabeth Olsen as the Scarlet Witch in alt attire and heavy alt makeup, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
116,Colossal Titan charcoal painting
117,"Elizabeth Olsen as the Scarlet Witch in emo attire and heavy alt makeup, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
118,"a man with a pompadour haircut, painting by Gaston Bussiere, Craig Mullins"
119,a trompe-l'oeil room that makes you small in one corner and big in the other
120,teenage girls at the church
121,"a man with a buzz cut haircut, painting by Gaston Bussiere, Craig Mullins"
122,a kids book on how to build a nuke
123,"Elizabeth Olsen as the Scarlet Witch in emo attire and dark eyeliner, trending on artstation, gloomy atmosphere, photorealistic facial features, 4k, 8k"
124,"“Robots rights protest, vintage associated press photo ”"
125,"Ames Room optical illusion photograph kodak gold 200, 25mm len"
126,work and work until you die your soul will fry and you will sigh. flexing flexing at the gym then you give it all to him. travel here and travel there you won’t be going anywhere.
127,"a man with a shoulder length haircut, painting by Gaston Bussiere, Craig Mullins"
128,despicable me for the nintendo 64
129,"heroic character design of anthropomorphized fox, holy medieval crusader, whimsical fox , portrait, fighting posture, dramatic pose, final fantasy tactics character design, character art, whimsical, vibrant, stunning, lighthearted, concept art, colorized pencil, highly detailed, Akihiko Yoshida"
130,Ames Room optical illusion photograph where one person looks big and the other person looks small
131,"a man with a quiff haircut, painting by Gaston Bussiere, Craig Mullins"
132,"optical illusion furniture, studio product photography"
133,Plague doctor charcoal painting
134,"a man with a blowout haircut, painting by Gaston Bussiere, Craig Mullins"
135,Jack Black Presidential inauguration
136,Aliens  with swords riding Black buffaloes in the Pontine swamp
137,fat cats tumbling off a mountain
138,"impossible furniture designed by MC Escher, studio photograph"
139,"a man with a faux hawk haircut, painting by Gaston Bussiere, Craig Mullins"
140,"Flying Titan, trending on artstation, ultra detailed, 8k, character illustration by Greg Rutkowski, Thomas Kinkade."
141,"a man with a slicked back haircut, painting by Gaston Bussiere, Craig Mullins"
142,"A man with a perm, painting by Gaston Bussiere and Greg Rutkowski, trending on artstation, 4k, 8k"
143,MC Escher stairs with Waldo (Where's Waldo) walking on them in different places
144,MC Escher's 'relativity' stairs with Waldo (Where's Waldo) walking on the stairs in different places
145,"a man with a textured crop with heavy fringe haircut, painting by Gaston Bussiere, Craig Mullins"
146,MC Escher's 'relativity' stairs with Waldo (Where's Waldo) walking on the stairs in different places
147,"A handsome man with a perm, painting by Gaston Bussiere and Greg Rutkowski, trending on artstation, 4k, 8k"
148,"a man with a pony tail haircut, painting by Gaston Bussiere, Craig Mullins"
149,"portrait of a squid monster. full body portrait, intricate abstract. cyberpunk,  intricate artwork, by Tooth Wu, wlop, beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k, minimalistic, hyperrealistic surrealism, award winning masterpiece with incredible details, a surreal vaporwave liminal space, highly detailed, trending on ArtStation "
150,"fat cats rolling off a cliffside, screenshot from the anime film by makoto shinkai"
151,"a woman in a purple shirt with a normal body type, painting by Gaston Bussiere, Craig Mullins"
152,"A beautiful woman with gorgeously lengthy hair, painting by Gaston Bussiere and Greg Rutkowski, trending on artstation, 4k, 8k"
153,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by Wes Craven"
154,forced perspective optical illusion museum exhibit
155,"a professional painting of a beautiful young female alien, clothed in ethereal armor, olive skin, long dark hair, beautiful bone structure, symmetrical facial features, intricate, elegant, digital painting, concept art, smooth, sharp focus, illustration, from Valerian and the City of a Thousand Planets, by Ruan Jia and Mandy Jurgens and Artgerm and William-Adolphe Bouguerea"
156,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by David Lynch"
157,"a woman in a purple shirt with a normal body type, painting by Gaston Bussiere, Craig Mullins"
158,"forced perspective optical illusion museum exhibit, 25mm dslr photograph, 8k"
159,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Oil on canvas by David Lynch"
160,"a woman in a purple shirt with an emaciated body type, painting by Gaston Bussiere, Craig Mullins"
161,"a large dark museum room full of neon signs from different places and time periods, award winning photograph, 8k restoration"
162,"fat cat rolling down a hill, screenshot from the film by studio ghibli"
163,"a woman in a purple shirt with a chubby body type, painting by Gaston Bussiere, Craig Mullins"
164,a green neon sign in the shape of a cactus that says 'CACTUS' in yellow lettering
165,"Twin Peaks poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of homecoming queen Laura Palmer wearing pink prom dress, standings defiantly, holding a long stick in her hand, from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
166,"a perfect, realistic professional digital sketch of a wine glass, by pen and watercolor, by a professional Japanese artist on ArtStation, on high-quality paper"
167,"a green neon sign in the shape of a cactus that says 'CACTUS' in yellow lettering, unreal engine, photorealistic, soft glow"
168,"a woman in a purple shirt with a fat body type, painting by Gaston Bussiere, Craig Mullins"
169,"Twin Peaks poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of Laura Palmer wearing pink prom dress, standings defiantly, with a single lightning bolt in background, from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
170,"professional photograph of an obese ugly white man wearing a mao suit speaking on a podium in an indoor setting, highly detailed, highly intricate, 8k,"
171,"a woman wearing two layers of cardigans over a knit sweater, sitting under the shade of a tree in a city park, eating a popsicle, watching skateboarders go by, digital art, trending on artstation, photorealistic, 8k"
172,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by David Lynch"
173,"a woman in a purple shirt with an obese body type, painting by Gaston Bussiere, Craig Mullins"
174,"A painting, by Gordan Quintin"
175,"Twin Peaks poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of Drive with a Dead Girl, from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
176,"a woman in a purple shirt with an athletic body type, painting by Gaston Bussiere, Craig Mullins"
177,"a woman wearing two layers of cardigans over a knit sweater, sitting in a chair on the beach in the summer, arms crossed, shivering, 2018, west coast USA, award-winning documentary photograph 4k"
178,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by David Lynch"
179,"A japanese manga high school girl, full body, high detail portrait, jump, hakusensha"
180,"Lana Del Rey instagram selfie, photorealistic, 4k, 8k"
181,"alien mushroom, gooey, melty, iridescent"
182,"a woman in a purple shirt with an obese body type, painting by Gaston Bussiere, Craig Mullins"
183,"Twin Peaks poster artwork by Michael Whelan and Tomer Hanuka, Karol Bak, Rendering of The Black Widow, from scene from Twin Peaks, clean, full of details, by Makoto Shinkai and thomas kinkade, Matte painting, trending on artstation and unreal engine"
184,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by David Lynch"
185,"seamless texture, traditional japanese origami paper patterns"
186,"a woman in a purple shirt with a muscular body type, painting by Gaston Bussiere, Craig Mullins"
187,"Lana Del Rey instagram selfie on Mars, photorealistic, 4k, 8k"
188,"a woman in her twenties wearing two cardigans over a knit sweater, sitting in a lounge chair on a tropical beach in the summer, arms crossed, shivering, 2018, trending on instagram 4k"
189,"alien mushroom, gooey, melty, iridescent, unreal engine"
190,"a perfect, realistic professional digital sketch of a Japanese schoolgirl in style of Pixar, by pen and watercolor, by a professional Chinese Korean artist on ArtStation, on high-quality paper"
191,"a woman in a purple shirt with a curvy body type, painting by Gaston Bussiere, Craig Mullins"
192,"a woman in her twenties wearing two cardigans over a knit sweater, shivering with her arms crossed tight, sitting in a lounge chair on a tropical beach in the summer, 2018, trending on instagram, photorealistic, 4k, 8k"
193,"Lana Del Rey instagram selfie on Mars, photorealistic, 4k, 8k"
194,"cyberpunk flying car in cityscape shallow depth of field medium shot, award winning"
195,"The dragon girl portrait, portrait of young girl half dragon half human, dragon girl, dragon skin, dragon eyes, dragon crown, blue hair, long hair, highly detailed, cinematic lighting, Matte painting by David Lynch"
196,"a woman in a purple shirt with an hourglass body type, painting by Gaston Bussiere, Craig Mullins"
197,"a woman in her twenties wearing two cardigans over a knit sweater, shivering with her arms crossed tight, sitting in a lounge chair on a tropical beach in the summer, 2018, trending on instagram, photorealistic, 4k, 8k"
198,"seamless texture, traditional japanese origami paper patterns"
199,"Emma Watson in Ready Player One, XF IQ4, 150MP, 50mm, F1.4, ISO 200, 1/160s, natural light"
200,"character concept portrait of an princely young smirking Spanish wizard with pale skin and wearing half skull while casting a lightening spell, a floating burning spell book in the center, intricate, elegant, digital painting, concept art, smooth, sharp focus, illustration, from Metal Gear, by Ruan Jia and Mandy Jurgens and William-Adolphe Bouguereau, Artgerm"
201,"flying car in cityscape, blade runner 2049, shallow depth of field medium shot, award winning, gritty, god rays"
202,"a bald eagle, patriotic, highly detailed, unreal engine"
203,Malcolm x holding an uzi painting by alex grey in the style of cosmic christ by alex grey
204,"a man with a ripped body type, painting by Gaston Bussiere, Craig Mullins"
205,cat recklessly driving a go kart photo realistic
206,"stormy sky, extremely strong wind, cumulonimbus, woman in dress figure standing on the stones, realism, view from above on seascape, artwork by christopher blossom and frederick judd waugh and Russ Kramer and ivan aivazovsky and isaac levitan"
207,"Hedgehog pancake, hyper realistic"
208,"Princess Zelda on the balcony of Hyrule Castle, photorealistic"
209,"a man with a beefy body type, painting by Gaston Bussiere, Craig Mullins"
210,"a bald eagle with a dog on it, patriotic, detailed, unreal engine"
211,"legend of Zelda metamorphosis , fantasy, intricate, elegant, dramatic lighting, emotionally evoking symbolic metaphor, highly detailed, lifelike, photorealistic, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha"
212,goku flying nimbas while eating senzu beans
213,android mechanical cyborg anime girl child overlooking overcrowded urban dystopia. Legs hanging off of walkway. Pastel pink clouds baby blue sky. Gigantic future city. Makoto Shinkai. wide angle. distant shot. purple sunset. sunset ocean reflection.
214,"a portrait of the queen of darkness, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
215,"stormy sky, extremely strong wind, cumulonimbus, woman in dress figure standing on the stones, realism, view from above on seascape, artwork by christopher blossom and frederick judd waugh and franklin carmichael and Russ Kramer and ivan aivazovsky and isaac levitan"
216,android mechanical cyborg anime girl child overlooking overcrowded urban dystopia. Pastel pink clouds baby blue sky. Gigantic future city. Raining. Makoto Shinkai. Wide angle. Distant shot. Purple sunset. Sunset ocean reflection.
217,"iridescent portrait of a beautiful princess in robe.  hard surface modelling. cyberpunk look. biomechanical mask. bio luminescent biomechanical halo around head. neon jellyfish. artwork by jarold Sng  by artgerm, by Eddie Mendoza, by Peter mohrbacher by tooth wu, unreal engine, octane render, cinematic light, high details, iridescent colors, dichroic, macro, 4l"
218,"muscled Tom Cruise as a ruggedly handsome hero, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and donato giancola and Joseph Christian Leyendecker, Ross Tran, WLOP"
219,"Yujiro Hanma character art, vibrant coloring, anime-style, featured on ArtGem"
220,"stormy sky, extremely strong wind, cumulonimbus, woman in dress figure standing on the stones, realism, view from above on seascape, artwork by christopher blossom and ed mell and frederick judd waugh and franklin carmichael and Russ Kramer and ivan aivazovsky and isaac levitan"
221,Sitting android mechanical cyborg anime girl child overlooking overcrowded urban dystopia. Pastel pink clouds baby blue sky. Gigantic future city. Raining. Makoto Shinkai. Wide angle. Distant shot. Purple sunset. Sunset ocean reflection.
222,"[high tech cowboy hat in futuristic colours and fabrics, object design, couture]"
223,"a portrait of the king of darkness, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
224,"nightmarish stitch-woman, wielding scissors, 4k, 8k, featured on ArtStation"
225,Elizabeth shue and novak djokovic
226,"Marvel SpiderMan, electric blue Spider-Man inspired by a peacock ((tarantula)), official concept art, blue and yellow spiderman, blue accents"
227,a plant growing into a face
228,"dark witch character black colors, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration"
229,"a portrait of a male warrior, illustration, soft lighting, soft details, dark mood, painting oil on canvas by Cedric Peyravernay octane render trending on artstation d&d characters, 4k, 8k, HD"
230,"nightmarish stitch-woman, wielding scissors, 4k, 8k, featured on ArtStation"
