image_path,caption,emoset label,paletz pred,paletz pred id,goemo pred,goemo pred id,semeval pred,semeval pred id
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_09710.jpg,"A joyful couple is captured in a moment of carefree happiness, with bright smiles and playful gazes. The woman, dressed in a checkered shirt, leans into the man, who wears a vibrant red shirt, as they sway together with the support of a rope. Their expressions radiate excitement and affection against a clear blue sky, embodying a sense of fun and adventure.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_14400.jpg,"A vibrant cluster of red tulips stands tall against a lush green backdrop, their petals glistening in the sunlight. The blossoms radiate a sense of joy and warmth, evoking feelings of love and celebration, while the surrounding greenery enhances a sense of tranquility and freshness.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_08735.jpg,"A peaceful scene captures a serene pond surrounded by lush greenery, where a line of wooden posts juts out from the water. Several white birds sit gracefully on the posts, embodying a sense of calm and tranquility. The gentle ripples on the pond's surface reflect the sunlight, enhancing the serene atmosphere of this idyllic setting, suggesting emotions of peace and contentment.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_07668.jpg,"In this image, two lions are captured in a moment of vocal expression, both yawning widely. Their open mouths display sharp teeth, indicating a relaxed yet assertive state. The body language of the lions suggests a sense of comfort in their surroundings, as they recline on the ground amidst lush greenery. The scene evokes a feeling of majesty and tranquility in the animal kingdom.",4,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_03523.jpg,"In this image, a person is expressing a fierce and menacing emotion, characterized by a wide, toothy grin and exaggerated facial features, including heavy makeup. Their outstretched hands and intense gaze amplify the sense of aggression or mock intimidation, suggesting a playful yet eerie character, possibly for a costume or performance. The overall atmosphere hints at a theatrical or horror theme.",6,amusement,0,fear,6,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_09286.jpg,"The image captures a man lying down, deeply absorbed in thought. His bluish eyes and the soft glow of the device he holds against the dark background create a somber atmosphere. The casual position of his hand suggests introspection or weariness, possibly reflecting emotions of sadness or melancholy as he listens through his headphones, enveloped in his own world.",7,happiness,2,sadness,7,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_16815.jpg,"A surfer stands triumphantly on his board, arms raised in celebration as he successfully rides a wave. His expression radiates joy and exhilaration, embodying the thrill of the moment. In the background, other surfers focus on their own rides, highlighting a vibrant and active beach atmosphere. The bright blue ocean and clear sky add to the sense of freedom and happiness.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_19392.jpg,"A joyful and celebratory moment captured at a vibrant pride event, where a smiling mother poses with her two daughters. The girls, one holding a teddy bear, exude happiness as they stand in front of a large rainbow flag, symbolizing inclusivity and love. The atmosphere is filled with excitement, community spirit, and a sense of pride.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_07227.jpg,"A vibrant rainbow arcs gracefully across a bright blue sky, framed by soft, billowing clouds. The contrast between the vivid colors of the rainbow and the serene backdrop of the sky evokes a sense of hope and tranquility, suggesting a peaceful resolution following a storm. The warm light shining through hints at a fresh start and the promise of brighter days ahead.",1,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_16930.jpg,"A whimsical, brightly colored owl figurine perches on a pink pedestal, surrounded by vivid flowers and playful design elements. Its wide eyes and detailed feathers evoke a sense of curiosity and watching, suggesting an emotion of attentive wisdom and playful alertness in this charming scene. The lively colors and playful context contribute to an overall feeling of cheerfulness and imagination.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_13549.jpg,"A curious orange cat lounges comfortably on a step ladder, gazing intently at something off-camera. Its ears are perked up, and its wide eyes reflect a mix of intrigue and calm. The backdrop features delicate floral patterns, enhancing the cozy atmosphere. This setting suggests a sense of alert curiosity, as the cat seems both relaxed yet focused.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_08071.jpg,"Two pale worms are seen slithering across a wet, rocky surface, surrounded by small pebbles and mud. The atmosphere appears calm and unhurried, suggesting a sense of quiet exploration. The worms' movements may evoke feelings of curiosity or unease, reflecting the complexity of life found in damp environments. The overall scene embodies a natural, interconnected moment in the ecosystem, inviting reflection on the unnoticed details of nature.",5,sadness,7,disgust,5,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_06071.jpg,"A solitary figure stands amidst the tombstones in a dimly lit graveyard, illuminated only by the soft glow of the moon overhead. The scene conveys a sense of introspection and melancholy, as the individual appears to be lost in thought. The stark contrast of shadows and light enhances the somber atmosphere, evoking feelings of solitude and reflection on themes of life, loss, and remembrance.",7,happiness,2,sadness,7,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_02555.jpg,"The image depicts a serene cemetery scene featuring a graceful statue of a woman adorned in flowing garments, holding a bouquet of lilies. Beside her, a weathered gravestone adorned with ivy suggests a connection to the past. The overall atmosphere conveys a sense of tranquility and remembrance, evoking emotions of nostalgia and reverence for those who have passed. The gentle posture of the statue and the natural elements surrounding it reflect themes of peace and reflection.",7,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_16796.jpg,"In the image, two men stand together in a lively setting, likely a nightclub or party. The man on the left appears focused and serious, wearing glasses and a headset, suggesting he's engaged in his role, possibly as a DJ. In contrast, the man on the right is exuberantly playful, sticking out his tongue and striking a fun pose. His body language radiates enthusiasm and carefree spirit, contrasting with his friend's demeanor. The ambiance seems energetic, hinting at a celebratory mood. Overall",3,happiness,2,amusement,0,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_10685.jpg,"A beautifully crafted carousel horse, named ""Salome,"" stands proudly amidst the whimsical backdrop of a festive amusement park. Its serene expression and detailed features evoke a sense of nostalgia and innocence, highlighting a moment of joy and carefree childhood memories. The soft lighting and vibrant colors in the background further enhance this enchanting atmosphere, inviting viewers to experience a blend of happiness and wistfulness.",0,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_12660.jpg,"A cheerful toddler sits in a high chair, reaching out with excitement toward a soft toy dog. His big smile reveals a sense of joy and playfulness, while bits of apple scattered on the tray indicate a recent snack time. The warm, inviting background adds to the atmosphere of happiness and connection in this playful moment.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_03145.jpg,"A solitary figure in a white outfit walks along the edge of a muted blue pool, surrounded by leafless trees that reach toward a dark backdrop. The person's downcast posture and slow, measured pace evoke a sense of contemplation and introspection, suggesting feelings of loneliness or sadness in a tranquil yet stark environment.",7,happiness,2,sadness,7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_19039.jpg,"In this lively image, three young individuals are beaming with joy, their broad smiles radiating happiness and friendship. The group is clustered together, exuding a sense of camaraderie and warmth. Their cheerful expressions and playful poses suggest a moment of celebration or shared excitement, capturing the essence of a fun and memorable outing. The bright colors of their clothing, paired with the sunny environment, further enhance the overall feeling of positivity and carefree enjoyment.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_03215.jpg,"A young woman sits on the sandy beach, gazing thoughtfully at the waves rolling in. Her posture is relaxed yet introspective, with her knees drawn to her chest and her arms resting on them. The polka-dotted swimsuit contrasts with the natural hues of the beach, and the soft light reflects a serene atmosphere. The gentle sound of the ocean suggests a moment of contemplation, evoking feelings of tranquility and perhaps a hint of wistfulness.",7,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_07064.jpg,"A black kettle swings gently over a crackling campfire, its flames dancing brightly against a backdrop of lush greenery. The wood logs, charred and glowing, hint at warmth and the comfort of shared moments outdoors. This scene evokes a sense of tranquility and nostalgia, capturing the essence of cozy gatherings and the simple joys of nature.",4,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13652.jpg,"A solitary tree stands against a breathtaking sunset, its bare branches reaching towards the sky like a silent testament to resilience. Surrounding it are evergreen trees, cloaked in soft, white snow, creating a serene winter landscape. The warm hues of the setting sun contrast with the coolness of the snow, evoking feelings of solitude intertwined with hope. This tranquil scene captures a moment of reflection and the beauty of nature’s cycles, inviting contemplation and serene emotions.",1,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_02678.jpg,"A mature woman confidently strides down a stage, wearing a floral dress and a stylish headpiece. The expression on her face conveys a mix of determination and self-assuredness, suggesting she is embracing the moment with pride. The backdrop is simple and dark, allowing her presence and outfit to stand out, highlighting her individuality and strength. This scene captures a spirit of empowerment and resilience, evoking emotions of joy and celebration.",6,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_14562.jpg,"In this playful yet contrasting scene, three children are experiencing a mix of emotions on a ride. The child on the left is expressing fear with wide eyes and a distressed expression, while the girl in the middle beams with joy, showcasing a big smile and carefree spirit. The boy on the right appears anxious, his face contorted in distress. The colorful, cartoonish background adds a whimsical touch, highlighting the thrill and unpredictability of childhood adventures.",0,happiness,2,fear,6,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_08864.jpg,"The image presents a desolate interior space, partially illuminated by natural light streaming through an open window. The remnants of a once lively room—cracked walls, scattered debris, and a worn ceiling—evoke a sense of abandonment and nostalgia. The interplay of light and shadow enhances the mood, suggesting feelings of loneliness and a haunting beauty in decay. This atmosphere invites contemplation about the passage of time and the stories left behind.",6,sadness,7,sadness,7,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_10551.jpg,"A cheerful dog sits happily beside its owner, showcasing a broad smile with its tongue out and expressive eyes. The dog's body language suggests excitement and contentment, as it enjoys the companionship and the playful atmosphere of the outdoors. The relaxed posture and the vibrant setting indicate a joyful moment, perfect for capturing the essence of happiness and affection.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_12527.jpg,"A group of young girls stands close together, smiling and laughing joyfully. One girl in the foreground, with long blonde hair and wearing a pink jacket, has her head thrown back in exuberance, clearly enjoying a lighthearted moment. The other girls behind her share in the laughter, creating a lively and cheerful atmosphere. Their playful expressions convey a sense of friendship and happiness, suggesting a moment of fun during their day.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_14988.jpg,"The image depicts a person standing in clear, shallow water, facing away from the camera. Their arms are raised joyfully towards the sky, suggesting a sense of freedom and exhilaration. The bright blue sky and serene water enhance the feeling of peace and happiness, evoking a carefree, celebratory mood. The scene captures the essence of embracing nature and enjoying a moment of pure bliss.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07405.jpg,"In this bright, sunny scene, two pelicans stand closely together by a serene pond, their elegant bodies framed by rocky borders and lush greenery. Their beaks are prominently displayed, curving gracefully as they face the viewer. The posture and proximity of the pelicans suggest a sense of companionship and tranquility, evoking feelings of calm and harmony in nature. The soft colors of their feathers amplify the peaceful mood of the setting.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_15448.jpg,"A joyful baby peeks over the shoulder of an adult with a wide, cheerful grin and sparkling blue eyes, showcasing an innocent delight. Drool drips playfully from the baby's mouth, adding to the lighthearted, carefree atmosphere of the moment. The adult's amused expression suggests a bond of affection and playfulness, emphasizing the shared joy in this delightful interaction.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_01852.jpg,"A young child wearing a bright red Hawaiian shirt crouches intently in a field of green grass, displaying a focused expression. The child's brow is furrowed, and their mouth is slightly open, suggesting a mix of determination and curiosity as they explore their surroundings. The pose conveys a sense of engagement with the natural world, highlighting a moment of playful discovery.",5,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09389.jpg,"The image depicts a dilapidated wooden structure, with weathered planks and signs of decay, surrounded by intertwining vines and a backdrop of bare trees. The scene evokes a sense of desolation and neglect, capturing the passage of time and the remnants of what once was. The muted colors and stark composition may inspire feelings of melancholy or contemplation.",0,sadness,7,disgust,5,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_06426.jpg,"A close-up view of green buds nestled among lush green leaves, held gently between fingers. The image conveys a sense of new life and growth, suggesting feelings of hope and tranquility as nature awakens. The vibrant colors and intricate textures evoke a connection to the earth and the beauty of natural cycles.",6,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_00147.jpg,"In this serene landscape, two individuals are captivated by the majestic view of a volcanic mountain. One person is crouched down, deeply focused on capturing the scene with a camera, while the other stands with arms crossed, gazing thoughtfully at the expansive view. The atmosphere suggests a blend of awe and contemplation, as they both take in the beauty of nature around them. The bright sunlight and clear sky enhance the sense of tranquility and wonder in this moment.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_10565.jpg,"The image captures a performer on stage, exuding joy and confidence as she sings into a microphone. Her wide smile and expressive body language, coupled with vibrant attire, suggest a celebration of music and connection with the audience. The bright yellow backdrop enhances the lively atmosphere, emphasizing feelings of happiness and enthusiasm.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_15639.jpg,"A large, colorful clown statue stands in a park, its exaggerated features and playful design evoke a sense of whimsy and cheerfulness. The clown's wide grin and bright colors invite a feeling of joy, suggesting a lighthearted atmosphere typical of amusement parks. Surrounding greenery enhances the bright, vibrant scene, making it feel lively and fun.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_17315.jpg,"The image depicts a mask-like figure with an exaggerated, wide-open mouth and hollow eyes, conveying a sense of fear or anguish. The use of muted colors and dark shadows enhances the eerie atmosphere, evoking feelings of distress or horror. The overall impression is one of intense emotion, likely representing themes of despair or a primal scream.",0,happiness,2,fear,6,fear,6
C:\Users\manee\EmoSet-118K-7\image/fear/fear_03340.jpg,"A serene desert landscape under the tranquil glow of a starry night sky. The soft contours of the sand dunes create an undulating pattern, bathed in gentle moonlight. This peaceful scene evokes feelings of solitude and contemplation, inviting a sense of calm and introspection amidst the vastness of nature. The stars twinkle silently above, enhancing the feeling of being lost in a serene, otherworldly moment.",6,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_07919.jpg,"A serene landscape unfolds under a vast sky, where a vibrant rainbow arcs gracefully over rolling hills. The terrain is a blend of muted earth tones and patches of lush greenery, contrasting with the dramatic, cloudy backdrop. The scene evokes a sense of hope and tranquility, suggesting a moment of beauty and renewal after a passing rainstorm. This harmonious interplay of elements invites feelings of peace and optimism.",1,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_18762.jpg,"A vibrant sunset paints the sky in hues of orange, pink, and purple, creating a breathtaking backdrop as a solitary airplane flies across the horizon. The contrast between the warm colors of the sunset and the silhouette of the aircraft evokes a sense of tranquility and wonder, inviting moments of reflection and contemplation on life's journeys and the beauty of nature.",3,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_00711.jpg,"The image captures a tiger with its mouth wide open in a powerful roar, showcasing sharp teeth and a fierce expression. The tension in its posture and the intensity in its eyes convey a sense of assertiveness and dominance, suggesting the tiger is either marking its territory or responding to a perceived threat. The surrounding enclosure hints at a wild creature confined, emphasizing an emotion of frustration or agitation.",1,happiness,2,fear,6,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_00472.jpg,"An old, abandoned house stands amidst a tangle of overgrown vines and shrubs, its weathered walls nearly obscured by nature's embrace. The muted black and white tones enhance the somber atmosphere, evoking a sense of decay and nostalgia. The boarded windows add a haunting quality, suggesting stories long forgotten. This scene captures a feeling of isolation and time's relentless passage, inviting reflection on the past and the mysteries it holds.",1,sadness,7,disgust,5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/anger/anger_04938.jpg,"A breathtaking sunset casts serene hues of orange and pink across the sky, reflecting on the calm waters below. Silhouetted sailboats gently bob on the water, while a distant ship navigates toward the horizon. The atmosphere evokes a sense of tranquility and wonder, inviting viewers to pause and appreciate the beauty of nature, fostering feelings of peace and introspection.",4,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_12454.jpg,"A delicate hand emerges, gently lifting a sheer veil that shrouds the scene in a sense of mystery and introspection. The soft fabric billows around the arm, creating an ethereal contrast against the dark background. This image evokes feelings of vulnerability and contemplation, inviting the viewer to explore the interplay between concealment and revelation. The subtle movement suggests a yearning for freedom and connection, capturing a moment that is both intimate and profound.",6,happiness,2,surprise,1,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_07415.jpg,"A close-up view of a textured surface featuring a mix of organic materials, moisture, and air bubbles, creating an abstract composition of dark, murky colors interspersed with vibrant greens. The interplay of light and shadow suggests a sense of depth, evoking feelings of intrigue and contemplation, as if it reveals hidden mysteries beneath its surface.",1,happiness,2,surprise,1,joy,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_01369.jpg,"In this joyful family portrait, a man, two girls, and a woman stand together against a textured wall, all wearing bright smiles. The group exudes happiness and togetherness, with the children playfully positioned in the front. The warmth of the moment reflects a sense of love and connection, capturing a delightful family outing or gathering.",6,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_04439.jpg,"A slightly wrinkled, oversized tomato rests in a shallow dish, illuminated by soft, ambient light from a nearby refrigerator. The tomato’s deep red hue contrasts with the cool blue tones surrounding it, evoking a sense of nostalgia or longing. Its rounded, imperfect shape suggests a story of growth, vulnerability, and the passage of time, inviting viewers to reflect on themes of beauty in imperfection and the fleeting nature of freshness.",5,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_17092.jpg,"A vivid red poppy flower stands in the foreground, its delicate petals unfurling to reveal a striking contrast of orange and yellow stamens at the center. The lush green foliage and soft bokeh of natural stone in the background create a serene and tranquil ambiance. This image evokes feelings of beauty, freshness, and a sense of peacefulness, inviting contemplation and appreciation of nature's artistry.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_01924.jpg,"In this serene desert scene, two traditional tents stand amidst undulating sand dunes under a clear blue sky. The warm golden hues of the sand contrast with the earthy tones of the tents. A solitary dried shrub adds a touch of life to the vast, barren landscape, evoking a sense of isolation and quiet resilience. The expansive rocky mountains in the background hint at the majesty of nature, creating a feeling of solitude and introspection. This composition may evoke emotions of tranquility and contemplation, as one reflects",5,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_06153.jpg,"An expansive aerial view captures a tranquil landscape blanketed in soft, wispy morning fog. The scene is painted in gentle hues of blue and gray, with low-lying clouds creating a serene atmosphere. Rolling hills and winding roads disappear into the mist, evoking feelings of calmness and introspection. The stillness of the water reflects the softly diffused light, enhancing the overall sense of peace and quietude, inviting the viewer to embrace a moment of reflection and solitude.",2,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_06726.jpg,"The image conveys a festive and cheerful atmosphere, capturing the essence of the holiday season. A bright red jingle bell hangs from a decorated pine branch, suggesting joy and celebration. The text promotes an upcoming event, ""Glorious Sounds of the Season,"" further enhancing the feeling of excitement and anticipation associated with holiday festivities. Overall, the emotion present is one of warmth, joy, and seasonal cheer.",1,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_08534.jpg,"Amidst the breathtaking scene of a magnificent waterfall, a vibrant rainbow arches gracefully above the cascading water, symbolizing hope and joy. The sun shines brightly through the fluffy clouds, creating a serene atmosphere filled with wonder and awe. The lush greenery surrounding the falls adds to the natural beauty, evoking a sense of peace and exhilaration. This scene captures a moment of tranquility paired with the exhilarating power of nature, inviting feelings of joy and inspiration.",1,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03373.jpg,"A cheerful bear dressed in a sailor suit waves enthusiastically from a charming gazebo decorated with colorful flags. Surrounded by vibrant flowers in pots and playful nautical elements, the scene radiates a sense of joy and friendliness, inviting viewers to share in the festive atmosphere.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_02627.jpg,"In this image, a peacock stands prominently in the foreground, its vibrant green and blue feathers shimmering, despite some dampness from recent rain. Behind it, another peacock appears more subdued, blending into the background. The scene evokes a sense of awareness and observation, as the peacock in the foreground gazes intently, suggesting curiosity or pride. The lush, green grass complements the birds’ iridescent colors, adding to the serene yet alert atmosphere.",2,happiness,2,excitement,3,joy,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_00355.jpg,"The image features a whimsical snowman figurine, adorned with a vibrant green hat and a joyful expression. Its round face is painted with rosy cheeks and a slight smile, characterized by black buttons for eyes and an orange carrot-shaped nose. The overall design conveys a sense of cheerfulness and warmth, evoking feelings of happiness and festive spirit.",7,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_17879.jpg,"Two young children sit on a wooden bench, beaming with joy. The girl, dressed in a Florida cheerleading outfit, has bright curls and a wide smile that radiates happiness. Her playful demeanor suggests excitement. Beside her, a boy in a matching sporty outfit mirrors her expression, showcasing his cheerful demeanor with a captivating grin. Their vibrant clothing and warm smiles reflect a moment of pure delight and camaraderie, capturing the essence of childhood joy.",0,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_11596.jpg,"In a vibrant outdoor setting, three children play joyfully near a colorful building adorned with traditional architecture. One boy in a blue sweater stands proudly on the path, his broad smile radiating happiness and excitement. Another child crouches down, seemingly engaged in a playful act, while a third child peeks from behind, enhancing the playful atmosphere. The lush greenery and bright colors surrounding them amplify the sense of carefree joy and innocence in their expressions and movements.",3,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_05458.jpg,"The image captures a warm, friendly interaction between two individuals shaking hands, with a third person observing nearby. The scene is set against a festive backdrop, illuminated by soft lighting, suggesting a cheerful and welcoming atmosphere. The individuals appear engaged and amiable, likely sharing a moment of connection and goodwill. Their expressions and body language convey openness and positivity, reflecting an emotion of joy or camaraderie.",1,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_05180.jpg,"The image captures a young woman expressing a strong emotion of anger or frustration. Her facial expression includes clenched teeth and narrowed eyes, conveying intense displeasure. The background suggests a lively social setting, which contrasts with her apparent irritation. This contrast highlights the intensity of her emotion in the midst of a cheerful environment.",0,happiness,2,joy,2,anger,4
C:\Users\manee\EmoSet-118K-7\image/anger/anger_11549.jpg,"The image features a charming display of two stuffed toys: a smiling doll with red braids dressed in a light blue outfit and a playful character resembling a cowboy, both hanging against a vibrant blue wooden door. This delightful scene evokes feelings of nostalgia and innocence, connecting the viewer to childhood memories and a sense of warmth and joy.",4,happiness,2,joy,2,joy,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_16343.jpg,"A solemn angelic statue stands gracefully beside a weathered stone cross, symbolizing remembrance and loss. The angel, with intricately carved wings, gazes downward, embodying emotions of mourning and reflection. The surrounding greenery adds a sense of tranquility, contrasting with the weight of the memorial. This scene evokes feelings of nostalgia and reverence, inviting viewers to contemplate themes of grief and eternal remembrance.",0,happiness,2,excitement,3,joy,0
