image_path,caption,emotion_id,paletz_pred,paletz_pred_id
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_01329.jpg,"a man and a little girl taking pictures
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_09863.jpg,"a wooden pier leads to a hut on the water
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_13375.jpg,"a woman in a black shirt holding a microphone
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_07872.jpg,"a crowd of people at a concert with one man singing
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08448.jpg,"a clown walks down the street with an umbrella
",7,anger,4
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_14778.jpg,"a woman and child sitting on a couch with a cell phone
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_04855.jpg,"a man sitting in a chair with his hand on his chin
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_01127.jpg,"a scary image with a quote on it
",6,fear,6
C:\Users\manee\EmoSet-118K-7\image/awe/awe_00071.jpg,"a wooden walkway leads to the ocean and the sun
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_04227.jpg,"a green snake is sitting on a branch
",5,fear,6
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_04252.jpg,"a spider is hanging from a web in the sun
",5,fear,6
C:\Users\manee\EmoSet-118K-7\image/anger/anger_08203.jpg,"a bush burns in the background as a person walks by
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_18770.jpg,"a close up of a bunch of bread with cheese
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08398.jpg,"a woman with long hair standing in front of a mountain
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_04011.jpg,"a tiger yawning with its mouth open
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_02145.jpg,"a young woman sitting on the railroad tracks
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_18360.jpg,"a woman posing with a goofy dog mascot
",3,anger,4
C:\Users\manee\EmoSet-118K-7\image/fear/fear_01861.jpg,"a close up of a grasshopper with a black and yellow body
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_16472.jpg,"a close up of a dog sleeping on a tile floor
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_08632.jpg,"santa claus figurines for sale
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_14788.jpg,"a baby laying on a bed with a pacifier in its mouth
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_01201.jpg,"a woman dressed as a zombie holding a stuffed animal
",6,fear,6
C:\Users\manee\EmoSet-118K-7\image/anger/anger_02777.jpg,"a woman holding a sign that says stop the war
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_03368.jpg,"a building in the background
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_07424.jpg,"a tunnel with a light shining down on it
",6,happiness,2
C:\Users\manee\EmoSet-118K-7\image/anger/anger_05091.jpg,"two otters are sitting in the grass
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_08370.jpg,"a stuffed totoro sitting on a green carpet
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_13458.jpg,"a green and yellow bird sitting on a wooden branch
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01479.jpg,"two men with dreadlocks and green hair playing saxophone
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_11584.jpg,"a man dressed in a robot costume
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_05637.jpg,"a large group of caterpillars on a tree
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_10023.jpg,"a black and white photo of a piece of meat being cooked
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_09840.jpg,"a black and white photo of a hallway with a light coming through the door
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_02959.jpg,"a rusty metal sculpture of a face with a tree in the background
",6,sadness,7
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_07786.jpg,"a trash can on the sidewalk
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13679.jpg,"a black and orange butterfly on a white flower
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_10825.jpg,"a woman in a colorful dress
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13177.jpg,"a sunset over the water with birds flying over it
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_07057.jpg,"a group of people holding signs and holding up a banner
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08092.jpg,"an old car is sitting in the woods
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_11296.jpg,"a wall filled with animal masks
",6,fear,6
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_03869.jpg,"a pile of garbage on the side of the road
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_09911.jpg,"an old church with a steeple and a steeple
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_06782.jpg,"a baby sitting on a green and brown pillow
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_18915.jpg,"a man and woman on stage singing together
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_05255.jpg,"a man and woman are holding hands during a wedding ceremony
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07217.jpg,"a group of people dancing in a crowded room
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_00213.jpg,"the casket of the late president of the republic of zimbabwe, dr john kabila z",7,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_05121.jpg,"a woman holding a remote control
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01716.jpg,"moonraker - vol 1 - japanese - lp
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_03748.jpg,"a yellow sunflower with green leaves and a green stem
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_10141.jpg,"a purple flower is in the middle of a field
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_05328.jpg,"a man and woman sitting on the ground in a park
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_05046.jpg,"a man in a pink shirt and a man in a blue shirt with a bear mascot
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_11020.jpg,"a lion yawning in a field
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09251.jpg,"a plate of food with beans, eggs, sausage and toast
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_04785.jpg,"a man in camouflage holding a sign that says if protesting terrorism
",4,fear,6
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_10220.jpg,"a carnival ride with people standing around it
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_08725.jpg,"a trash can filled with cups and cigarettes
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_03639.jpg,"a pile of papers and papers on a desk
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_10013.jpg,"two ducks standing on the sidewalk near a lake
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_04148.jpg,"a group of people sitting on a bench
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_14242.jpg,"a large ferris wheel with a red and white structure
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_04700.jpg,"a monkey eating an apple on a rock
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_12661.jpg,"the casket of the late lord stuart, lord stuart of croft, in the chapel",7,happiness,2
C:\Users\manee\EmoSet-118K-7\image/fear/fear_05825.jpg,"a wooden door with a window in it
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_17258.jpg,"a red ornament is hanging from a christmas tree
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_09120.jpg,"two women taking a selfie with their phones
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_05292.jpg,"a fire burns in the woods with trees and mountains in the background
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_08878.jpg,"star wars cosplay at the 2018 comic con
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_01662.jpg,"a siamese cat sitting in front of a wheel
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_10660.jpg,"three women sitting at a bowling alley having a good time
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_01887.jpg,"a young girl holding a spatula and oven mitt
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_05522.jpg,"a white tiger sitting down
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_03057.jpg,"two men with their mouths open and one is wearing a red shirt
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_11024.jpg,"a woman sitting on a bench with a black dog
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_11733.jpg,"a woman wearing a black lives matter t - shirt
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_18478.jpg,"a baby girl sitting on a blanket with her mouth open
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_01014.jpg,"a bench with pink flowers in front of a green bench
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08666.jpg,"a goat standing in a field
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_08607.jpg,"a woman holding a baby on a couch
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_05150.jpg,"a house with a broken roof and broken windows
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_12234.jpg,"a large group of ducks in the water
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_03150.jpg,"a box of cigarettes with a cigarette in it
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_17510.jpg,"two people jumping in the air on a field
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_02043.jpg,"a beach with buildings in the background
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_04499.jpg,"a little girl getting her hair cut in a salon
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_01924.jpg,"a tomato on a plate
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_03344.jpg,"a baby laying on a colorful play mat
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_14690.jpg,"four girls jumping in the air on a concrete floor
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_18857.jpg,"two women holding wine glasses
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_16165.jpg,"two doughnuts with pink icing on top of a black plate
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_05047.jpg,"a gargoyle on a building
",6,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03135.jpg,"a woman in colorful costume with feathers and feathers
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_09875.jpg,"a young boy sitting on the floor with a book
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_09131.jpg,"two men in underwear and wings walk down the street
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_02301.jpg,"a view of a canyon with a river running through it
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_02833.jpg,"a black and white photo of a woman with long hair
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07174.jpg,"a group of people playing a sport on a court
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_13609.jpg,"a woman in a black dress with pink feathers
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_01598.jpg,"a man is standing in front of a rack of meat
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09683.jpg,"an older woman holding a baby in her arms
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_14453.jpg,"a digital image of a flower with a circular design
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_07307.jpg,"a leaf on a blue background with a black and white photo
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_12748.jpg,"a group of women walking down the street with rainbow flags
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13041.jpg,"a dragonfly with yellow and black wings sitting on a green stem
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_01559.jpg,"a woman hugging a child on the side of the road
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_00575.jpg,"two women dressed in costumes and holding a baby
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_10108.jpg,"the aurora bore lights up the sky over a field
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/awe/awe_03492.jpg,"sunset over a field of soybeans
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_09857.jpg,"a woman is petting a dog
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_11281.jpg,"the sun is setting over the ruins of an ancient temple
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_08723.jpg,"a brick wall
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_07336.jpg,"a white umbrella on a beach
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_04265.jpg,"a fire burns in the forest near some trees
",4,sadness,7
C:\Users\manee\EmoSet-118K-7\image/anger/anger_06181.jpg,"a man in a cowboy hat and vest is holding his arms out in front of a fire
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_06959.jpg,"a couple of bikes and fishing rods on the beach
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_01237.jpg,"a view of a lake and mountains from above
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_17844.jpg,"angry birds run
",0,anger,4
C:\Users\manee\EmoSet-118K-7\image/awe/awe_09504.jpg,"a snowy field
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_02147.jpg,"three people jumping in the air in a canyon
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_12687.jpg,"a man is working on a car in a garage
",6,sadness,7
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_06669.jpg,"an old abandoned hospital room with a broken door
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/fear/fear_04391.jpg,"a woman dressed as a zombie holding a bouquet of flowers
",6,fear,6
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_00816.jpg,"a group of brown and white sea anemones
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_06146.jpg,"a group of people holding a rainbow flag
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_09298.jpg,"a close up of a rock with holes and holes
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/anger/anger_00628.jpg,"a sea lion with its mouth open and its teeth showing
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_06686.jpg,"a piece of paper laying on the ground next to a road
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_06779.jpg,"three people sitting on a hill overlooking the ocean
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_02141.jpg,"a man on a motorcycle with a rainbow flag waving
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03791.jpg,"a little girl blowing out candles on a birthday cake
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_10686.jpg,"a bronze statue of a man laughing with other people
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07225.jpg,"a woman in a green dress and gold tia is dancing
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_13981.jpg,"a christmas ornament with a little girl in a red dress
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/fear/fear_11212.jpg,"the cover of the book dragon by alc lander
",6,happiness,2
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_10565.jpg,"two people sitting on the ground looking at a mountain
",2,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_05467.jpg,"a lone tree stands on a snowy hillside
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07019.jpg,"a dog sitting on the grass with a red ribbon
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07597.jpg,"two women sitting at a table with a tablet
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_06926.jpg,"a poppy seed pod with a green stem
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_12499.jpg,"a man dressed in a rainbow costume and a woman dressed in a star wars costume
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_00807.jpg,"sheep grazing in a field at sunset
",2,happiness,2
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_12224.jpg,"a flower with a yellow center
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_03244.jpg,"a young boy holding a doughnut
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03873.jpg,"a large red fireworks display in the night sky
",0,fear,6
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_15152.jpg,"a woman with sunglasses sitting on a bench with a pink bag
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_03230.jpg,"a pile of garbage and trash in a room
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_11229.jpg,"a sunset on the beach with waves and birds
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_09151.jpg,"a group of men dancing on stage in a performance
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09389.jpg,"a young boy in a field with a stick
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/anger/anger_10051.jpg,"a white dog with its mouth open
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_05230.jpg,"a statue of a man in the grass with a rope
",6,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_11254.jpg,"a clown head with a sign that says ponie bon
",0,anger,4
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_15074.jpg,"a ferris wheel is in front of a blue sky
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_07839.jpg,water polo - italia - italy - italy - italy - italy - it,3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_02371.jpg,"a man placing flowers on a grave
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_02989.jpg,"a squirrel eating from a bird feeder
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_07893.jpg,"a waterfall in the middle of a rocky gorge
",6,fear,6
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_15231.jpg,"a man and a child riding a roller coaster
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_02358.jpg,"a woman in a colorful outfit waves at the camera
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_12097.jpg,"a man with long hair and a beard
",7,amusement,0
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_10499.jpg,"a red and black bug on a leaf
",5,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_06639.jpg,"a woman with a wig and a pink dress
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_08121.jpg,"a woman in a red dress and hat sitting on a white couch
",2,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_00074.jpg,"a rainbow in the sky over a field of green trees
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_14359.jpg,"a man in a black shirt is kicking his leg up
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_10751.jpg,"the sun is setting over the ocean and the beach
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_09837.jpg,"a large alligator mascot standing in front of a ride
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_16978.jpg,"a group of people in a raft on a river
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_17906.jpg,"rafting on the river tay
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_02202.jpg,"a young boy is playing with bubbles
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_07352.jpg,"a large christmas tree with lights on it
",0,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_10047.jpg,"a little girl in a red shirt is holding a rainbow flag
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01559.jpg,"cheerleaders in red and white uniforms dancing in front of a red and white truck
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_06192.jpg,"a group of people standing in a field
",3,sadness,7
C:\Users\manee\EmoSet-118K-7\image/awe/awe_06290.jpg,"icebergs crashing into the ocean in iceland
",1,sadness,7
C:\Users\manee\EmoSet-118K-7\image/anger/anger_00439.jpg,"a crocodile standing in the water with its mouth open
",4,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13052.jpg,"a tent is set up on the snow covered ground
",1,amusement,0
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08271.jpg,"two people sitting on a couch in front of a brick wall
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_06097.jpg,"a dirty toilet with a dirty seat and dirty floor
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_05564.jpg,"a large pile of plastic bottles with different colors
",5,sadness,7
C:\Users\manee\EmoSet-118K-7\image/contentment/contentment_16441.jpg,"anthurium flower, red, plant, plant, plant, plant, plant, plant, plant",2,happiness,2
C:\Users\manee\EmoSet-118K-7\image/awe/awe_05267.jpg,"a rainbow is seen over the ocean and beach
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/sadness/sadness_08886.jpg,"a baby is sitting on the floor and crying
",7,sadness,7
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_03823.jpg,"a large sign with a large wheel on top of it
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_11875.jpg,"a crowd of people with rainbow flags and signs
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_06444.jpg,"an old ferris wheel with yellow seats
",0,sadness,7
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_01366.jpg,"a woman holding a pillow with a penguin on it
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_05713.jpg,"a woman in a costume is holding a hula hoop
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_13985.jpg,"purple flowers are growing on a plant in a garden
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/excitement/excitement_06413.jpg,"a woman wearing a pink shirt
",3,amusement,0
C:\Users\manee\EmoSet-118K-7\image/amusement/amusement_16060.jpg,"a group of cheerleaders in yellow and blue
",0,amusement,0
C:\Users\manee\EmoSet-118K-7\image/fear/fear_13201.jpg,"two women standing in the woods near trees
",6,amusement,0
C:\Users\manee\EmoSet-118K-7\image/awe/awe_03683.jpg,"a view of the mountains from a mountain top
",1,happiness,2
C:\Users\manee\EmoSet-118K-7\image/fear/fear_04714.jpg,"a blue light is shining on a white ghost
",6,happiness,2
C:\Users\manee\EmoSet-118K-7\image/disgust/disgust_05508.jpg,"a person holding a toy with a cartoon character on it
",5,amusement,0
