id,prompt
20,"a renaissance portrait of chris rock, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
21,"a beautiful painting of pyramids on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. "
22,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, gold, pink and blue color scheme, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
23,"a renaissance portrait of dwayne johnson and mr. bean, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
24,"flat earth conspiracy by katsuhiro otomo, tex avery, otto dix, jan svankmejer, highly detailed, hyperrealistic, claymation "
25,"a beautiful painting of a pyramid on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. "
26,"a renaissance portrait of dwayne johnson and mr. bean, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
27,"an emo portrait. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. by beeple, ross tran, and sagi haviv, digital art illustration. trending on artstation "
28,"concept art of translucent glowing curvy buxom brown fairy dancing, renaissance, flowy, melting, round moons, rich clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, epic fantasy art, very colorful, ornate intricate scales, walls and floor of cave made of skulls, fractal gems, 8 k, hyper realistic "
29,"an airbrush painting of a january 6 insurrection by destiny womack, gregoire boonzaier, harrison fisher, richard dadd "
30,"rooster chicken, normal chicken, rooster chicken, bright art masterpiece artstation. 8 k, sharp high quality artwork in style of jose daniel cabrera pena and greg rutkowski, concept art by tooth wu, blizzard warcraft artwork, hearthstone card game artwork "
31,"a renaissance portrait of dwayne johnson and mr. bean, rowan atkinson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
32,"a renaissance portrait of dwayne johnson hugging mr. bean, rowan atkinson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
33,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus ] 
34,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. unreal engine. trending on artstation, octane. rendered on unreal engine. 4 k "
35,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae ] 
36,"textless, deep purple and gold bird logo, velvet, white and amethyst and gold colour scheme "
37,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
38,"a stunning portrait of an asian valkyrie with long black hair laying in grass by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k "
39,"landscape of the city of armenia quindio, flcl style, minimalist, japanese art, emo goth phone wallpaper "
40,bill and teds excellent adventure in a museum 
41,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
42,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
43,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by asher brown durand and claude monet, artstation, hd wallpaper "
44,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
45,! dream portrait of a beautiful winged goddess with horns wearing an ornate black robe by tom bagshaw 
46,"a highly detailed digital illustration of a cute corgi puppy floating in outer space, hyperrealistic, stunning, beautiful, cinematic, sci - fi, greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag "
47,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
48,oil painting by george stubbs of a highland cow and a llama in a meadow at dawn. 
49,"extremely realistic digital illustration of a cute corgi puppy floating in outer space, soft focus, dreamy, greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation "
50,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
51,"cute corgi puppy floating in outer space, hyperrealistic, very lifelike, stunning, extremely detailed digital illustration by greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation, masterpiece, award - winning, 8 k "
52,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, charcoal - on - black paint, by gino severini "
53,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | incantus erminae | chi tong ] 
54,"a renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
55,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by dan mumford, ross tran, by laurel d austin "
56,"a medieval renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
57,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by dan mumford, ross tran, by laurel d austin "
58,"gameplay footage of the sims 4, high definition "
59,portrait of a beautiful winged goddess wearing an ornate black robe and gold jewels by tom bagshaw 
60,"a medieval portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
61,"adorable corgi puppy in a bamboo forest, hyperrealistic, extremely lifelike, highly detailed digital painting by greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation, masterpiece, award - winning, 8 k "
62,"a medieval portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
63,"detailed symmetry!!, ( astronaut with purple closed visor ), deep inside space with small twinkling stars, by artgerm and charlie bowater and chris rallis, dark age aether punk style, global illumination, radiant light, god rays, bokeh, digital illustration, cg society, unreal engine 5, ray tracing "
64,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by dan mumford, ross tran, by laurel d austin "
65,"concept art of translucent glowing curvy fairy dancing booty, renaissance, flowy, melting, round moons, rich clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, epic fantasy art, very colorful, ornate intricate scales, skulls, fractal gems, 8 k, hyper realistic, high contrast "
66,oil painting by hieronymous bosch of watson and the shark. 
67,"a medieval renaissance portrait of will ferrell hugging john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
68,"photo cartoon illustration comic manga painting of space environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch "
69,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, grey wings, with sunlit branches. portrait character design psychedelic hyperrealistic botticelli portrait "
70,"a medieval renaissance portrait of will ferrell and john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
71,"rat with bandages on arms holding wakizashi, highly detailed, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
72,"d & d character art, corgi puppy thaumaturgist, hyperrealistic, lifelike, extremely detailed digital illustration by greg rutkowski, artgerm, moebius, ruan jia, makoto shinkai, simon stalenhag, trending on artstation, masterpiece, award - winning, 8 k "
73,"rat with bandages on arms holding wakizashi, highly detailed, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
74,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, grey wings, with sunlit branches. portrait character design psychedelic hyperrealistic botticelli portrait "
75,"a renaissance portrait of will ferrell and john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
76,"rat with bandages on bandaged arms holding wakizashi, highly detailed, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
77,oil painting by magritte of watson and the shark. 
78,"portrait of a beautiful, elegant winged goddess with horns by tom bagshaw "
79,"a renaissance portrait of will ferrell and john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
80,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by beksinski, hd painting, cyberpunk inspiration "
81,"a medieval portrait of will ferrell and john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
82,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by beksinski, hd painting, cyberpunk inspiration "
83,"tattoo design art, neo traditional snake, finley detailed, japanese traditional inspired, by jeff gogue by nekro borja "
84,portrait of a beautiful winged goddess with horns and ornate black dress by tom bagshaw 
85,"dark grey skinned female goblin with an oversized red axe, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
86,"tattoo design art, neo traditional : 3 eye design, finley detailed, japanese traditional inspired, by jeff gogue by nekro borja, finely detailed, hyperdetailed "
87,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, gold earring, by peter mohrbacher, by rebecca guay, by ron spencer "
88,portrait of a beautiful goddess with wings and horns by tom bagshaw 
89,"a medieval portrait of will ferrell with john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
90,"dark grey skinned female goblin with an oversized red axe, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
91,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | blackcrow | incantus erminae | nuzzle me to hell and back | wild 4 wilde ] pawstar serious | | the beast is the man 🙌 
92,"medieval portrait of will ferrell with john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, "
93,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, gold earring, by peter mohrbacher, by rebecca guay, by ron spencer "
94,"a photograph of a futuristic street scene, brutalist style, straight edges, finely detailed oil painting, impasto brush strokes, soft light, 8 k, dramatic composition, dramatic lighting, sharp focus, octane render, masterpiece, by adrian ghenie and jenny saville and zhang jingna "
95,"! dream tattoo design art, neo traditional : 3 eye design, finley detailed, japanese traditional inspired, by jeff gogue by nekro borja, finely detailed, hyperdetailed "
96,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | blackcrow | incantus erminae | nuzzle me to hell and back | wild 4 wilde ] pawstar serious | | all vibes | | the beast is the man 🙌 
97,"portrait of a beautiful winged goddess with horns, long wavy black hair, long black dress with silver jewels by tom bagshaw "
98,"epic 3 d, underwater spinning vr headsets, future interfaces! gpu controlled by plant consciousness, made of dreams, flowers and intricate laptops, houdini sidefx, perfect render, long journey, artstation trending, by jeremy mann, tsutomi nihei, sakimichan and ilya kuvshinov "
99,"a skeleton peaking from behind an empty throne, detailed digital art, artstation "
100,variegated 
101,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, gold earring, by peter mohrbacher, by rebecca guay, by ron spencer "
102,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ powerful furr lore | blackcrow | incantus erminae | nuzzle me to hell and back | wild 4 wilde ] pawstar serious | | a tale of a tail | | the beast is the man 🙌 supersaiyan? 
103,"portrait of a beautiful woman with horns, long wavy black hair, long black dress with silver jewels, black bat wings on back, by tom bagshaw "
104,"a skeleton peaking from behind an empty royal throne, detailed digital art, artstation "
105,"epic 3 d, underwater spinning vr headsets, hud, gripping! circuit board by plant consciousness, made of dreams, flowers and intricate laptops, houdini sidefx, perfect render, long journey, artstation trending, by jeremy mann, tsutomi nihei, sakimichan and ilya kuvshinov "
106,variegated pothos 
107,"neon butterfly girl, by weta fx, by wlop, majestic look, cinema 4 d, cinematic "
108,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, gold earring, by peter mohrbacher, by rebecca guay, by ron spencer "
109,"portrait of a beautiful woman with horns, blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, by tom bagshaw "
110,"tattoo design art, neo traditional eye design, finley detailed, japanese traditional inspired, by jeff gogue by nekro borja, finely detailed, hyperdetailed "
111,"a photograph of a futuristic street scene, brutalist style architecture, straight edges, shop signs, finely detailed oil painting, impasto brush strokes, soft light, 8 k, dramatic composition, dramatic lighting, sharp focus, octane render, masterpiece, by adrian ghenie and jenny saville and zhang jingna "
112,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, gold earring, by peter mohrbacher, by rebecca guay, by ron spencer "
113,🤳🦊 ♂ * nuzzles * 🖼 * blushez * 🎨 uwu owo 😼 [ anthropowarp | blackcrow pouncewerk | incantus erminae | nuzzle me to hell and back | wild 4 wilde ] pawstar serious | | a tale of a tail | | the beast is the man 🙌 
114,"portrait of a beautiful woman with horns, piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, by tom bagshaw "
115,"a cool and muscular male refugee of legends character, shabby clothes, bag, shelter background, symmetrical, maximalist, cg animation, riot enterainment, arcane, realistic, hyper detailed, masterpiece character select portrait, by artgerm, anna dittmann, ilya kuvshinov, loish, drew struzan, charlie bowater, 3 d "
116,"portrait of a beautiful woman with horns, piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, by tom bagshaw "
117,"beautiful ink sketch in black, white and red, a hall in ancient rome, by ilya kuvshinov, wlop, krenz kushart, boris vallejo, ayami kojima and ayami kojima "
118,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by dan mumford, ross tran, by laurel d austin "
119,"illustration of helicopter over a rural village, 1 8 3 5. "
120,"portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw "
121,"tattooed female goblin with grey skin holding a red axe, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
122,"portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw "
123,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, grey wings, with sunlit branches. portrait character design psychedelic hyperrealistic botticelli portrait "
124,"portrait of haribo bear in future city, color and shape focus, central composition, natural light, bloom, puff, by simon stalenha "
125,"tattooed female goblin with grey skin holding a red axe, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, global illumination, shaded, art by artgerm and greg rutkowski and fuji choko and viktoria gavrilenko and hoang lap "
126,"full length portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw "
127,undefined 
128,"full length portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw "
129,"anthro - lynx, human with head of lynx, trending on artstation, concept art "
130,"an emo portrait painting. short dark brown messy pixie haircut, large black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker, by beksinski, hd painting, cyberpunk inspiration "
131,"frontal portrait of female adult twins in the apocalypse, by tim bradstreet. "
132,"concept art of translucent glowing curvy mermaid dancing, big booty, flowy, melting, round moon, swirly clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, dragons, epic fantasy art, very colorful, ornate intricate scales, gold skulls, fractal gems, 8 k, hyper realistic, high contrast "
133,"beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw "
134,fonts 
135,"black anthro - lynx, human with head of lynx, pink mohawk, facial scar, wearing patched flight suit, on the nostromo, trending on artstation, "
136,"concept art of translucent glowing curvy woman dancing, big booty, flowy, melting, round moon, swirly clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, dragons, epic fantasy art, very colorful, ornate intricate scales, gold skulls, fractal gems, 8 k, hyper realistic, high contrast "
137,"portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background "
138,sadsadsadsadsadsadsadsadsadsadsadsadsadsadsad 
139,"overwatch bauhaus jakarta cafe building interior, food stall, kiosk, stylized, exterior, architecture, in watercolor gouache detailed paintings, arcane, insanely detail, artstation, 8 k, futuristic, big medium small, props, furniture and decor, empty, no character "
140,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
141,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
142,"cinematic portrait, half jacques the pink shrimp crustacean half incredible hulk, ultra realistic digital artwork, head and shoulders, dramatic lighting, wayne barlowe, max pennington 8 k "
143,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
144,"anime little boy, cat ears, red and black hero suit, glasses, posing on building at night, digital painting by james jean, kishimoto, wlop and toriyami togashi, inspired by hirohiko araki and made in abyss, anatomically correct, extremely coherent, smooth "
145,"a man sitting on his computer staring at several computer monitors showing crypto trades, colourful, chill, anime asthetic, neon glow, gamer, playstation 2, digital illustration, in style of lofi hip hop - n 4 "
146,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
147,"cinematic portrait, jacques the pink shrimp crustacean crossed with incredible hulk, ultra realistic digital artwork, ripped clothing, dramatic lighting, wayne barlowe, max pennington, greg rutkowski 8 k "
148,prehistoric cave painting of a cat. 
149,"a man sitting on his computer staring at several computer monitors showing crypto trades, colourful, chill, anime asthetic, neon glow, gamer, playstation 2, digital illustration, in style of lofi hip hop digital painting by james jean, kishimoto, wlop and toriyami togashi, inspired by hirohiko araki and made in abyss, "
150,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
151,"science fiction, awkward flustered brilliant stoic heroic blond butch tomboy woman engineer with short hair, rough ripped tomboy clothes, on the set of john carter, smooth, extremely detailed, cinematic lighting, illustration, digital art, crepuscular ray, trending on artstation, art by greg rutkowski, golden ratio "
152,"iconic stills from david lynch's twin peaks, painting by edward hopper, oil on canvas painting, american realism, highly detailed. "
153,"a guy standing on a spaceship looking out a window at space, back view, fantasy aesthetic, cyber aesthetic, studio ghibli, studio ghibli style, hyper detailed, cel shading, toon shading, shadows, "
154,"science fiction, awkward flustered brilliant stoic heroic blonde butch injured tomboy woman engineer with very short slicked - back blonde hair, ripped flight suit, on the set of john carter, smooth, extremely detailed, cinematic lighting, illustration, digital art, crepuscular ray, trending on artstation, art by greg rutkowski, golden ratio "
155,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
156,"iconic movie stills from david lynch's twin peaks, painted by edward hopper, oil on canvas painting, american realism, highly detailed. "
157,"a baroque golden palace with rubies and emeralds, studio ghibli, studio ghibli style, hyper detailed, cel shading, toon shading, shadows, "
158,"mixed media abstract sculpture created with recycled tires and wood / phi, highly detailed, intrincate, overcast flat lighting, octane, lumen unreal 5 / in the style of philippe faraut, stanisław szukalski, beksinsky and gustave dore "
159,"iconic movie stills from david lynch's twin peaks, painted by edward hopper, oil on canvas painting, american realism, highly detailed. "
160,power : illusion. oil on canvas 
161,"overwatch fallout building, stylized, exterior, architecture, in watercolor gouache detailed paintings, arcane, insanely detail, artstation, 8 k, futuristic, big medium small, props, furniture and decor, empty, no character "
162,"demon princess in black leather mask, scifi art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration "
